EID	massfeature_rows	str_row_ion	compounds	compound_names
E539	row3162;row3254	row3162_M+H[1+];row3254_M+Na[1+]	CE1272;C05446	5beta-cholestane-3alpha,7alpha,12alpha,25-tetrol$3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane
E542	row3186	row3186_M+Na[1+]	strdnccrn	stearidonyl carnitine
E543	row3187	row3187_M+Na[1+]	strdnccrn	stearidonyl carnitine
E544	row3216	row3216_M+H[1+]	C05462;C05466	Chenodeoxyglycocholate$
E545	row3226	row3226_M+H[1+]	CE5994	20-oxo-leukotriene E4
E546	row3322	row3322_M+Na[1+]	CE7145	13'-carboxy-alpha-tocotrienol
E553	row3278	row3278_M+H[1+]	C11134;tststeroneglc	Testosterone glucuronide; Testosterone 17beta-(beta-D-glucuronide)$testosterone glucuronide
E554	row3284	row3284_M+H[1+]	C01246	Dolichyl beta-D-glucosyl phosphate
E558	row3357	row3357_M+H[1+]	C02592	Taurolithocholate; Taurolithocholic acid
E561	row3397	row3397_M+Na[1+]	dcsptn1crn;clpndcrn	docosa-4,7,10,13,16-pentaenoyl carnitine$clupanodonyl carnitine
E569	row3480	row3480_M+Na[1+]	tetpent6crn;tetpent3crn	tetracosapentaenoyl carnitine$tetracosapentaenoyl carnitine
E572	row3514;row3515	row3514_M+H[1+];row3515_M(C13)+H[1+]	C00760	Cellulose; (1,4-beta-D-Glucosyl)n; (1,4-beta-D-Glucosyl)n+1; (1,4-beta-D-Glucosyl)n-1; 1,4-beta-D-Glucan; Microcrystalline cellulose
E576	row3539;row3540	row3539_M[1+];row3540_M+H[1+]	C04598	Platelet-activating factor
E578	row3657	row3657_M+Na[1+]	C00165	Diacylglycerol; Diglyceride
E579	row3742	row3742_M+Na[1+]	C00550	Sphingomyelin
E580	row3815;row3822	row3815_M+H[1+];row3822_M(C13)+H[1+]	C01829	O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine; L-Thyroxine; 3,5,3'5'-Tetraiodo-L-thyronine; Levothyroxin; T4
