"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"cis-2-Hydroxycinnamate","Coumarinic acid","HMDB0041592","5280841","28873","C05838",NA,"OC(=O)\C=C/C1=C(O)C=CC=C1","1"
"4-Coumarate","4-Hydroxycinnamic acid","HMDB0002035","637542","32374","C00811","6450","OC(=O)\C=C\C1=CC=C(O)C=C1","1"
"enol-Phenylpyruvate","Enol-phenylpyruvate","HMDB0012225","641637","16815","C02763",NA,"OC(=O)C(\O)=C\C1=CC=CC=C1","1"
"Phenylpyruvate","Phenylpyruvic acid","HMDB0000205","997","30851","C00166","328","OC(=O)C(=O)CC1=CC=CC=C1","1"
"6-Deoxy-L-galactose","L-Fucose","HMDB0000174","17106","42548","C01019","5812","C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"L-Phenylalanine","Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"(8Z,11Z,14Z)-Icosatrienoic acid","Dihomo-gamma-linolenic acid","HMDB0002925","5280581","53486","C03242","259","CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O","1"
"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid","Docosahexaenoic acid","HMDB0002183","445580","28125","C06429","3457","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O","1"
"noradrenochrome","Noradrenochrome","HMDB0013030","10176277","173732",NA,NA,"OC1CN=C2CC(=O)C(=O)C=C12","1"
"N-Formylanthranilate","Formylanthranilic acid","HMDB0004089","101399","36575","C05653",NA,"OC(=O)C1=CC=CC=C1NC=O","1"
"Perillic acid","Perillic acid","HMDB0004586","1256","36999","C11924",NA,"CC(=C)C1CCC(=CC1)C(O)=O","1"
"3-Sulfopyruvate","3-Sulfopyruvic acid","HMDB0004045","440717","16894","C05528",NA,"OC(=O)C(=O)CS(O)(=O)=O","1"
"isobutyrylglycine","Isobutyrylglycine","HMDB0000730","10855600","70979",NA,"5698","CC(C)C(=O)NCC(O)=O","1"
"3-Methoxy-4-hydroxyphenylacetaldehyde","Homovanillin","HMDB0005175","151276","28111","C05581",NA,"COC1=C(O)C=CC(CC=O)=C1","1"
"4-Guanidinobutanoate","4-Guanidinobutanoic acid","HMDB0003464","500","15728","C01035","6938","NC(=N)NCCCC(O)=O","1"
"Pyridoxamine","Pyridoxamine","HMDB0001431","1052","16410","C00534","238","CC1=C(O)C(CN)=C(CO)C=N1","1"
"Urate","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"5-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoate","5(S)-Hydroperoxyeicosatetraenoic acid","HMDB0001193","5280778","15632","C05356","6070","CCCCC\C=C/C\C=C/C\C=C/C=C/[C@H](CCCC(O)=O)OO","1"
"Prostaglandin B1","Prostaglandin B1","HMDB0002982","5280388","27624","C00959","408","CCCCC[C@H](O)\C=C\C1=C(CCCCCCC(O)=O)C(=O)CC1","1"
"(13E)-(15S)-15-Hydroxy-9-oxoprosta-10,13-dienoate","Prostaglandin A1","HMDB0002656","5281912","15545","C04685","407","CCCCC[C@H](O)\C=C\[C@H]1C=CC(=O)[C@@H]1CCCCCCC(O)=O","1"
"(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate","Prostaglandin C1","HMDB0060104","5280715","15546","C04686",NA,"CCCCC[C@H](O)\C=C\C1=CCC(=O)[C@@H]1CCCCCCC(O)=O","1"
"15(S)-HPETE","15(S)-HPETE","HMDB0004244","5280893","15628","C05966","7039","CCCCC[C@H](OO)\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"12(S)-HPETE","12(S)-HPETE","HMDB0004243","5280892","15626","C05965","7038","CCCCC\C=C/C[C@H](OO)\C=C\C=C/C\C=C/CCCC(O)=O","1"
"11H-14,15-EETA","11H-14,15-EETA","HMDB0004693","11954058",NA,"C14813",NA,"CCCCCC1OC1\C=C\C(O)C\C=C/C\C=C/CCCC(O)=O","1"
"Leukotriene B4","Leukotriene B4","HMDB0001085","5280492","15647","C02165","406","CCCCC\C=C/C[C@@H](O)\C=C\C=C\C=C/[C@@H](O)CCCC(O)=O","1"
"(5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoic acid","(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic Acid","HMDB0062619","5280743",NA,"C04849",NA,"[H]\C(CCCC(O)=O)=C(/[H])CC([H])(O)C(\[H])=C(/[H])[C@]1([H])OC1([H])C\C([H])=C(\[H])CCCCC","1"
"15H-11,12-EETA","15H-11,12-EETA","HMDB0005050","11954042","34160","C14781",NA,"CCCCC[C@H](O)\C=C\C1OC1C\C=C/C\C=C/CCCC(O)=O","1"
"L-Cysteate","Cysteic acid","HMDB0002757","25701","21260","C00506","332","NC(CS(O)(=O)=O)C(O)=O","1"
"N(pi)-Methyl-L-histidine","Methylhistidine","HMDB0000479","64969","27596","C01152","5466","[H][C@](N)(CC1=CN=CN1C)C(O)=O","1"
"Oxidized dithiothreitol","Oxidized dithiothreitol","HMDB0059664","439407","42147","C01119",NA,"O[C@H]1CSSC[C@@H]1O","1"
"Aryl sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"dopamine o-quinone","Dopamine quinone","HMDB0012219","162602","74684","C17755",NA,"NCCC1=CC(=O)C(=O)C=C1","1"
"Indole-3-acetate","Indoleacetic acid","HMDB0000197","802","16411","C00954","5211","OC(=O)CC1=CNC2=C1C=CC=C2","1"
"5-Hydroxyindoleacetaldehyde","5-Hydroxyindoleacetaldehyde","HMDB0004073","74688","50157","C05634",NA,"OC1=CC2=C(NC=C2CC=O)C=C1","1"
"Indole-3-acetamide","Indole-3-acetamide","HMDB0029739","397","16031","C02693",NA,"NC(=O)CC1=CNC2=C1C=CC=C2","1"
"L-Arginine","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"D-Arginine","D-Arginine","HMDB0003416","71070","15816","C00792","6924","N[C@H](CCCNC(N)=N)C(O)=O","1"
"Histone N6,N6-dimethyl-L-lysine","NA","NA","NA","NA","NA","NA","NA","0"
"L-Citrulline","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"Allantoate","Allantoic acid","HMDB0001209","203","30837","C00499","343","NC(=O)NC(NC(N)=O)C(O)=O","1"
"prostaglandin H1","Prostaglandin H1","HMDB0013041","50921242",NA,NA,NA,"CCCCC[C@H](O)\C=C\[C@@H]1[C@@H]2C[C@@H](OO2)[C@H]1CCCCCCC(O)=O","1"
"20-OH-10,11-dihydro-leukotriene B4","NA","NA","NA","NA","NA","NA","NA","0"
"Levomethadyl acetate","Levomethadyl Acetate","HMDB0015358","15130","6441","C08012",NA,"CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1","1"
"5-hydroxytryptophol","5-Hydroxytryptophol","HMDB0001855","9061",NA,NA,"5730","OCCC1=CNC2=CC=C(O)C=C12","1"
"1,2-dehydrosalsolinol","1,2-Dehydrosalsolinol","HMDB0012490","20844","193796",NA,NA,"CC1=NCCC2=C1C=C(O)C(O)=C2","1"
"Cys-Gly","Cysteinylglycine","HMDB0000078","439498","4047","C01419","5134","N[C@@H](CS)C(=O)NCC(O)=O","1"
"6E-12-epi-LTB4","NA","NA","NA","NA","NA","NA","NA","0"
"9-deoxy-delta12-PGD2","9-Deoxy-delta12-PGD2","HMDB0060103","131769823",NA,NA,NA,"CCCCC[C@H](O)C\C=C1/[C@@H](C\C=C/CCCC(O)=O)CCC1=O","1"
"12,20-DiHETE","12,20-DiHETE","HMDB0060105","44306544","90990",NA,NA,"OCCCCC\C=C/CC(O)\C=C\C=C/C\C=C/CCCC(O)=O","1"
"6-trans-leukotriene B4","6-trans-Leukotriene B4","HMDB0005087","5283128","63981","C02165",NA,"CCCCC\C=C/C[C@@H](O)\C=C\C=C\C=C\[C@@H](O)CCCC(O)=O","1"
"14,15-DiHETE","14,15-DiHETE","HMDB0010204","16061119","88459",NA,NA,"CC\C=C/CC(O)C(O)C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"6,7-dihydro-5-oxo-leukotriene B4","NA","NA","NA","NA","NA","NA","NA","0"
"20-hydroxy-5S-HETE","NA","NA","NA","NA","NA","NA","NA","0"
"6,7-dihydro-5-oxo-12-epi-LTB4","6,7-dihydro-5-oxo-12-epi-LTB4","HMDB0012839","53481528",NA,NA,NA,"CCCCC\C=C/C[C@@H](O)\C=C\C=C\CCC(=O)CCCC(O)=O","1"
"5,15-DiHETE","5,15-DiHETE","HMDB0010216","5283158","91286",NA,NA,"CCCCC[C@H](O)\C=C\C=C/C\C=C/C=C/[C@@H](O)CCCC(O)=O","1"
"10,11-dihydro-12-oxo-LTB4","10,11-dihydro-12-oxo-LTB4","HMDB0012498","53481445",NA,NA,NA,"CCCCC\C=C/CC(=O)CC\C=C\C=C/[C@H](O)CCCC(O)=O","1"
"2-Aminomuconate","2-Aminomuconic acid","HMDB0001241","5280499","15745","C02220","321","N\C(=C\C=C/C(O)=O)C(O)=O","1"
"adrenochrome","Adrenochrome","HMDB0012884","24884154","838058",NA,NA,"CN1C[C@H](O)C2=CC(=O)C(=O)C=C12","1"
"Hippurate","Hippuric acid","HMDB0000714","464","18089","C01586","1301","OC(=O)CNC(=O)C1=CC=CC=C1","1"
"(-)-Salsolinol","Salsolinol","HMDB0042012","91588","113","C09642",NA,"[H][C@@]1(C)NCCC2=CC(O)=C(O)C=C12","1"
"2-Hydroxy-3-(4-hydroxyphenyl)propenoate","2-Hydroxy-3-(4-hydroxyphenyl)propenoic acid","HMDB0006915","636708","27683","C05350",NA,"OC(=O)C(\O)=C\C1=CC=C(O)C=C1","1"
"Caffeate","Caffeate",NA,"4422","16433","C01197",NA,NA,"1"
"3-(4-Hydroxyphenyl)pyruvate","4-Hydroxyphenylpyruvic acid","HMDB0000707","979","15999","C01179","5675","OC(=O)C(=O)CC1=CC=C(O)C=C1","1"
"Coniferyl alcohol","Coniferyl alcohol","HMDB0012915","1549095","17745","C00590",NA,"COC1=C(O)C=CC(\C=C\CO)=C1","1"
"5-Hydroxykynurenamine","5-Hydroxykynurenamine","HMDB0004076","164719","28715","C05638",NA,"NCCC(=O)C1=C(N)C=CC(O)=C1","1"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"3-Methoxy-4-hydroxyphenylglycolaldehyde","3-Methoxy-4-hydroxyphenylglycolaldehyde","HMDB0004061","440729",NA,"C05583",NA,"COC1=C(O)C=CC(=C1)C(O)C=O","1"
"Homovanillate","Homovanillic acid","HMDB0000118","1738","545959","C05582","971","COC1=C(O)C=CC(CC(O)=O)=C1","1"
"L-Iditol","L-Iditol","HMDB0011632","5460044","18202","C01507",NA,"OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO","1"
"D-Sorbitol","Sorbitol","HMDB0000247","5780","17924","C00794","143","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"Galactitol","Galactitol","HMDB0000107","11850","16813","C01697","5148","OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO","1"
"11beta,17alpha,21-Trihydroxypregnenolone","11beta,17alpha,21-trihydroxypregnenolone",NA,"11966170","27783","C05489",NA,"C12C(O)3(CC=C4C(O)CC43C)1CC2(O)C(=O)CO","1"
"11beta,17alpha,21-Trihydroxy-5beta-pregnane-3,20-dione","Dihydrocortisol","HMDB0003259","164838","732","C05471","3173","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CC[C@]2([H])CC(=O)CC[C@]12C","1"
"3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al","3a,11b,21-Trihydroxy-20-oxo-5b-pregnan-18-al","HMDB0006753","440695",NA,"C05474",NA,"CC12CC[C@@H](O)CC1CCC1C3CCC(C(=O)CO)C3(CC(O)C21)C=O","1"
"Selenophosphate","Phosphoroselenoic acid","HMDB0003840","1092","29269","C05172",NA,"OP(O)(O)=[Se]","1"
"3-Phosphohydroxypyruvate","Phosphohydroxypyruvic acid","HMDB0001024","105","30933","C03232","484","OC(=O)C(=O)COP(O)(O)=O","1"
"5-Hydroxyisourate","5-Hydroxyisourate","HMDB0030097","101957720","18072","C11821",NA,"O[C@@]12NC(=O)NC1=NC(=O)NC2=O","1"
"3,4-Dihydroxymandelate","3,4-Dihydroxymandelic acid","HMDB0001866","85782","27637","C05580","696","OC(C(O)=O)C1=CC=C(O)C(O)=C1","1"
"prostaglandin G1","Prostaglandin G1","HMDB0013039","53481591",NA,NA,NA,"CCCCC[C@H](OO)\C=C\[C@@H]1[C@@H]2C[C@@H](OO2)[C@H]1CCCCCCC(O)=O","1"
"10,11-dihydro-20-dihydroxy-LTB4","10,11-dihydro-20-dihydroxy-LTB4","HMDB0012502","53481447",NA,NA,NA,"OC(O)CCCC\C=C/C[C@H](O)CC\C=C\C=C/[C@H](O)CCCC(O)=O","1"
"6-Acetamido-2-oxohexanoate","2-Keto-6-acetamidocaproate","HMDB0012150","194080","28376","C05548",NA,"CC(=O)NCCCCC(=O)C(O)=O","1"
"N1-Acetylspermidine","N1-Acetylspermidine","HMDB0001276","496","17927","C00612","3323","CC(=O)NCCCNCCCCN","1"
"6-Methylmercaptopurine","6-Methylmercaptopurine","HMDB0060412","5778","28279","C16614",NA,"CSC1=NC=NC2=C1N=CN2","1"
"(Z)-But-2-ene-1,2,3-tricarboxylate","cis-2-Methylaconitate","HMDB0006357","3080625","16717","C04225",NA,"C\C(C(O)=O)=C(/CC(O)=O)C(O)=O","1"
"N6-Acetyl-L-lysine","N6-Acetyl-L-lysine","HMDB0000206","92832","17752","C02727","5216","CC(=O)NCCCC[C@H](N)C(O)=O","1"
"N6,N6,N6-Trimethyl-L-lysine","N6,N6,N6-Trimethyl-L-lysine","HMDB0001325","440120","17311","C03793","6161","C[N+](C)(C)CCCC[C@H](N)C([O-])=O","1"
"Pyridoxal","Pyridoxal","HMDB0001545","1050","17310","C00250","6312","CC1=NC=C(CO)C(C=O)=C1O","1"
"Oxalosuccinate","oxalosuccinate","HMDB0304444","972","7815","C05379",NA,"OC(=O)CC(C(O)=O)C(=O)C(O)=O","1"
"6-Thioxanthine 5'-monophosphate","6-Thioxanthine 5'-monophosphate","HMDB0060418","3081384",NA,"C16618",NA,"O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=C(O)N=C2S","1"
"5,6-indolequinone-2-carboxylate","NA","NA","NA","NA","NA","NA","NA","0"
"beta-carboline","beta-Carboline","HMDB0012897","64961","109895","C20157",NA,"N1C2=CC=CC=C2C2=CC=NC=C12","1"
"5-Hydroxyindoleacetate","5-Hydroxyindoleacetic acid","HMDB0000763","1826","27823","C05635","2975","OC(=O)CC1=CNC2=C1C=C(O)C=C2","1"
"5-Phenyl-1,3-oxazinane-2,4-dione","5-Phenyl-1,3-oxazinane-2,4-dione","HMDB0060400","21350393","80594","C16596",NA,"OC1=NC(=O)OCC1C1=CC=CC=C1","1"
"N-Methylserotonin","N-Methylserotonin","HMDB0004369","150885","48294","C06212","7056","CNCCC1=CNC2=C1C=C(O)C=C2","1"
"Citrate","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"Isocitrate","Isocitric acid","HMDB0000193","1198","30887","C00311","3328","OC(C(CC(O)=O)C(O)=O)C(O)=O","1"
"N-Acetylmethionine","N-Acetyl-L-methionine","HMDB0011745","448580","21557","C02712",NA,"CSCC[C@H](NC(C)=O)C(O)=O","1"
"5,6-Dihydroxyindole-2-carboxylate","5,6-Dihydroxyindole-2-carboxylic acid","HMDB0001253","119405","2003","C04185","6110","OC(=O)C1=CC2=CC(O)=C(O)C=C2N1","1"
"N-methylsalsolinol","(S)-N-Methylsalsolinol","HMDB0003892","124148",NA,NA,NA,"C[C@@H]1N(C)CCC2=CC(O)=C(O)C=C12","1"
"(-)-Salsoline","(-)-Salsoline","HMDB0012469","442356","761542","C09640",NA,"COC1=CC2=C(CCN[C@H]2C)C=C1O","1"
"2-Phenyl-1,3-propanediol monocarbamate","2-Phenyl-1,3-propanediol monocarbamate","HMDB0060351","213060","80585","C16586",NA,"OCC(COC(O)=N)C1=CC=CC=C1","1"
"N-Formimidoyl-L-glutamate","Formiminoglutamic acid","HMDB0000854","439233","7274","C00439","5817","OC(=O)CC[C@H](NC=N)C(O)=O","1"
"3alpha,12alpha-Dihydroxy-5beta-cholanate","Deoxycholic acid","HMDB0000626","222528","28834","C04483","265","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O","1"
"Chenodeoxycholate","Chenodeoxycholic acid","HMDB0000518","10133","16755","C02528","207","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O","1"
"3-Methoxy-4-hydroxymandelate","Vanillylmandelic acid","HMDB0000291","736172","1127735","C05584","697","COC1=C(O)C=CC(=C1)[C@H](O)C(O)=O","1"
"L-Metanephrine","L-Metanephrine","HMDB0062493","688084",NA,"C05588",NA,"CNC[C@H](O)C1=CC(OC)=C(O)C=C1","1"
"Nomega,Nomega'-Dimethyl-L-arginine","Asymmetric dimethylarginine","HMDB0001539","123831","17929","C03626","6309","N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O","1"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"D-Tryptophan","D-Tryptophan","HMDB0013609","9060","16296","C00525",NA,"N[C@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"5-Methoxyindoleacetate","5-Methoxyindoleacetate","HMDB0004096","18986","28281","C05660","7016","COC1=CC2=C(NC=C2CC(O)=O)C=C1","1"
"L-Normetanephrine","Normetanephrine","HMDB0000819","1237","144308","C05589","66","COC1=CC(=CC=C1O)C(O)CN","1"
"L-Adrenaline","Epinephrine","HMDB0000068","5816","28918","C00788","5127","CNC[C@H](O)C1=CC(O)=C(O)C=C1","1"
"3-Hydroxy-N6,N6,N6-trimethyl-L-lysine","3-Hydroxy-N6,N6,N6-trimethyl-L-lysine","HMDB0001422","439460","15786","C01259","6234","C[N+](C)(C)CCCC(O)[C@H](N)C(O)=O","1"
"Lipoate","(R)-Lipoic acid","HMDB0001451","6112","30314","C16241","126","OC(=O)CCCC[C@@H]1CCSS1","1"
"(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate","Methylisocitric acid","HMDB0006471","513","142525","C04593",NA,"CC(O)(C(CC(O)=O)C(O)=O)C(O)=O","1"
"Choline phosphate","Phosphorylcholine","HMDB0001565","1014","18132","C00588","6326","C[N+](C)(C)CCOP(O)(O)=O","1"
"Dihydrolipoate","Dihydrolipoate","HMDB0012210","421","18047","C02147",NA,"OC(=O)CCCCC(S)CCS","1"
"L-Kynurenine","Kynurenine","HMDB0000684","161166","16946","C00328","72","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"Formyl-5-hydroxykynurenamine","Formyl-5-hydroxykynurenamine","HMDB0012948","440743","28736","C05647",NA,"NCCC(=O)C1=C(NC=O)C=CC(O)=C1","1"
"Sinapyl alcohol","Sinapyl alcohol","HMDB0013070","5280507","64557","C02325",NA,"COC1=CC(\C=C\CO)=CC(OC)=C1O","1"
"N-Acetyl-L-glutamate","N-Acetyl-L-glutamic acid","HMDB0001138","70914","17533","C00624","6031","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"3-O-methyldopa","3-Methoxytyrosine","HMDB0001434","1670",NA,NA,NA,"COC1=C(O)C=CC(CC(N)C(O)=O)=C1","1"
"N-(omega)-Hydroxyarginine","NA","NA","NA","NA","NA","NA","NA","0"
"4(R)-hydroxy-dodec-6Z-enoate","NA","NA","NA","NA","NA","NA","NA","0"
"4(S)-hydroxy-dodec-6Z-enoate","NA","NA","NA","NA","NA","NA","NA","0"
"o-methylhippurate","NA","NA","NA","NA","NA","NA","NA","0"
"propionyl-carnitine","NA","NA","NA","NA","NA","NA","NA","0"
"cis-Stilbene oxide","Cis-stilbene oxide","HMDB0059631","98511","50004","C16014",NA,"[H][C@]1(O[C@]1([H])C1=CC=CC=C1)C1=CC=CC=C1","1"
"5-L-Glutamyl-L-alanine","gamma-Glutamylalanine","HMDB0006248","440103","50619","C03740",NA,"C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"N-Acetylserotonin","N-Acetylserotonin","HMDB0001238","903","17697","C00978","366","CC(=O)NCCC1=CNC2=C1C=C(O)C=C2","1"
"(R)-Pantothenate","Pantothenic acid","HMDB0000210","6613","46905","C00864",NA,"CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"5-Hydroxy-L-tryptophan","5-Hydroxy-L-tryptophan","HMDB0000472","439280","17780","C00643",NA,"N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O","1"
"N-Acetylgalactosamine","N-Acetylgalactosamine","HMDB0000212","84265","40356","C01132","5222","CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O","1"
"N-Acetyl-D-mannosamine","N-Acetylmannosamine","HMDB0001129","11096158","63154","C00645","6024","CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"N-Acetyl-D-glucosamine","N-Acetyl-D-glucosamine","HMDB0000215","439174","506227","C00140","3356","CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate","4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoic acid","HMDB0004083","440741","27593","C05645",NA,"NC1=C(C=CC=C1O)C(=O)CC(=O)C(O)=O","1"
"salsolinol 1-carboxylate","Salsolinol 1-carboxylate","HMDB0013068","7055179",NA,NA,NA,"C[C@@]1(NCCC2=C1C=C(O)C(O)=C2)C(O)=O","1"
"13'-carboxy-gama-tocopherol","NA","NA","NA","NA","NA","NA","NA","0"
"Indolepyruvate","Indolepyruvate","HMDB0060484","803","29750","C00331",NA,"OC(=O)C(=O)CC1=CNC2=C1C=CC=C2","1"
"Porphobilinogen","Porphobilinogen","HMDB0000245","1021","17381","C00931","76","NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1","1"
"4-(2-Aminophenyl)-2,4-dioxobutanoate","4-(2-Aminophenyl)-2,4-dioxobutanoic acid","HMDB0000978","472","17442","C01252","5916","NC1=C(C=CC=C1)C(=O)CC(=O)C(O)=O","1"
"5-Phospho-beta-D-ribosylamine","5-Phosphoribosylamine","HMDB0001128","439905","37737","C03090","6023","N[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"N2-Succinyl-L-ornithine","N2-Succinyl-L-ornithine","HMDB0001199","127370","27574","C03415","6075","NCCC[C@H](NC(=O)CCC(O)=O)C(O)=O","1"
"Melatonin","Melatonin","HMDB0001389","896","16796","C01598","73","COC1=CC2=C(NC=C2CCNC(C)=O)C=C1","1"
"Dopamine 3-O-sulfate","Dopamine 3-O-sulfate","HMDB0006275","122136","37946","C13690",NA,"NCCC1=CC(OS(O)(=O)=O)=C(O)C=C1","1"
"Formylkynurenine","N'-Formylkynurenine","HMDB0001200","910","18377","C02406",NA,"NC(CC(=O)C1=CC=CC=C1NC=O)C(O)=O","1"
"L-Formylkynurenine","L-Formylkynurenine","HMDB0060485","25202092","30249","C02700",NA,"N[C@@H](CC(=O)C1=CC=CC=C1NC=O)C(O)=O","1"
"salsoline-1-carboxylate","Salsoline-1-carboxylate","HMDB0013067","6999659","174215",NA,NA,"COC1=C(O)C=C2CCN[C@@](C)(C(O)=O)C2=C1","1"
"Carbamazepine","Carbamazepine","HMDB0014704","2554","3387","C06868",NA,"NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12","1"
"S-aminomethyldihydrolipoamide","S-aminomethyldihydrolipoamide","HMDB0006239","24906333","50622",NA,NA,"NCSCCC(S)CCCCC(N)=O","1"
"Felbamate","Felbamate","HMDB0015084","3331","4995","C07501",NA,"NC(=O)OCC(COC(N)=O)C1=CC=CC=C1","1"
"D-myo-Inositol 1,2-cyclic phosphate","Inositol cyclic phosphate","HMDB0001125","122331","18426","C04299","6020","O[C@H]1[C@H]2OP(O)(=O)O[C@H]2[C@H](O)[C@@H](O)[C@@H]1O","1"
"Thymidine","Thymidine","HMDB0000273","5789","17748","C00214","3375","CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O","1"
"N-Acetyl-beta-D-glucosaminylamine","N-Acetyl-b-glucosaminylamine","HMDB0001104","439454","15947","C01239","6006","CC(=O)N[C@H]1[C@H](N)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"Uridine","Uridine","HMDB0000296","6029","16704","C00299","90","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"Biotin","Biotin","HMDB0000030","171548","15956","C00120","243","[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2","1"
"lysyl-proline","Lysylproline","HMDB0028959","171204","74567",NA,NA,"NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(O)=O","1"
"Dimethylallyl diphosphate","Dimethylallylpyrophosphate","HMDB0001120","647","16057","C00235","6016","CC(C)=CCOP(O)(=O)OP(O)(O)=O","1"
"Isopentenyl diphosphate","Isopentenyl pyrophosphate","HMDB0001347","1195","16584","C00129","6181","CC(=C)CCOP(O)(=O)OP(O)(O)=O","1"
"Pyridoxal 5'-phosphate","Pyridoxal 5'-phosphate","HMDB0001491","1051","18405","C00018","6275","CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O","1"
"tetradecenoate (n-C14:1)","NA","NA","NA","NA","NA","NA","NA","0"
"Pyridoxine 5'-phosphate","Pyridoxine 5'-phosphate","HMDB0001319","1055","28803","C00627","6156","CC1=NC=C(COP(O)(O)=O)C(CO)=C1O","1"
"S-Acetyldihydrolipoamide","S-Acetyldihydrolipoamide","HMDB0001526","1076","16807","C01136","6299","CC(=O)SC(CCS)CCCCC(N)=O","1"
"tetradecanoate (n-C14:0)","NA","NA","NA","NA","NA","NA","NA","0"
"2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline","NA","NA","NA","NA","NA","NA","NA","0"
"Deoxyadenosine","Deoxyadenosine","HMDB0000101","13730","17256","C00559","3382","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1","1"
"5'-Deoxyadenosine","5'-Deoxyadenosine","HMDB0001983","439182","17319","C05198",NA,"C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12","1"
"Nicotinate D-ribonucleoside","Nicotinic acid ribonucleoside","HMDB0006809","161234","27748","C05841",NA,"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[N+]1=CC=CC(=C1)C(O)=O","1"
"Hexadecanoate (n-C16:0)","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(O)=O","1"
