"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"20-oxo-leukotriene E4","20-Oxo-leukotriene E4","HMDB0012642","53481512",NA,NA,NA,"N[C@H](CS[C@H](\C=C\C=C\C=C/C\C=C/CCCCC=O)[C@@H](O)CCCC(O)=O)C(O)=O","1"
"Testosterone glucuronide","Testosterone glucuronide","HMDB0003193","108192","28835","C11134","2794","[H][C@@]12CC[C@H](O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"Dolichyl beta-D-glucosyl phosphate","dolichyl beta-D-glucosyl phosphate",NA,"56940678","15812","C01246",NA,"CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCOP(=O)(O)O1OC(CO)(O)C(O)C1O","1"
"27-Hydroxycholesterol$7alpha-Hydroxy-5beta-cholestan-3-one$20alpha-Hydroxycholesterol$22beta-Hydroxycholesterol","NA","NA","NA","NA","NA","NA","NA","0"
"3alpha,7alpha-Dihydroxy-5beta-cholestane","3a,7a-Dihydroxy-5b-cholestane","HMDB0006893","3080603","28047","C05452",NA,"[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"13'-carboxy-alpha-tocotrienol","13'-Carboxy-alpha-tocotrienol","HMDB0012556","53481462","139535",NA,NA,"C\C(CC\C=C(/C)C(O)=O)=C\CC\C(C)=C/CC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C","1"
"Taurolithocholate","Lithocholyltaurine","HMDB0000722","439763","36259","C02592","5690","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O","1"
"docosa-4,7,10,13,16-pentaenoyl carnitine$clupanodonyl carnitine","NA","NA","NA","NA","NA","NA","NA","0"
"Lysophosphatidylcholine","Lysophosphatidylcholine","HMDB0254271","21668198",NA,NA,NA,"CC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C","1"
"1-Alkyl-2-lyso-sn-glycero-3-phosphocholine","NA","NA","NA","NA","NA","NA","NA","0"
"13'-carboxy-gama-tocopherol","NA","NA","NA","NA","NA","NA","NA","0"
"tetracosapentaenoyl carnitine$tetracosapentaenoyl carnitine","NA","NA","NA","NA","NA","NA","NA","0"
"Cellulose","Cellulose",NA,"4022","18246","C00760",NA,NA,"1"
"Platelet-activating factor","Platelet-activating factor","HMDB0062195","108156","44811",NA,NA,"CCCCCCCCCCCCCCCCOC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O","1"
"Diacylglycerol","Diacylglycerol","HMDB0242173","6026790",NA,NA,NA,"CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC\C=C\CCCCCCCC","1"
"Sphingomyelin","SM(d18:1/18:0)","HMDB0001348","6453725","83358","C00550","176","[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine","Thyroxine","HMDB0000248","5819","18332","C01829","439","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O","1"
